Fecha,Producto,País,Ventas
2022-05-25,Producto 3,País 1,9748
2022-09-01,Producto 2,País 2,1043
2022-08-04,Producto 1,País 1,4496
2022-04-18,Producto 1,País 2,5171
2022-03-19,Producto 1,País 3,8204
2022-03-01,Producto 2,País 2,8940
2022-11-02,Producto 1,País 3,2407
2022-01-01,Producto 2,País 1,6274
2022-07-04,Producto 1,País 3,7135
2022-08-23,Producto 3,País 2,7104
2022-04-03,Producto 3,País 3,5522
2022-07-27,Producto 1,País 1,9512
2022-08-23,Producto 3,País 2,4283
2022-01-26,Producto 2,País 1,2541
2022-10-07,Producto 1,País 3,1782
2022-11-21,Producto 2,País 1,8366
2022-11-28,Producto 3,País 2,1819
2022-06-18,Producto 2,País 1,7341
2022-03-08,Producto 2,País 2,679
2022-04-02,Producto 1,País 2,3275
2022-06-13,Producto 2,País 3,7685
2022-04-24,Producto 2,País 1,897
2022-10-01,Producto 2,País 3,3402
2022-12-27,Producto 1,País 1,4275
2022-12-28,Producto 2,País 1,6276
2022-09-03,Producto 1,País 2,7525
2022-07-12,Producto 2,País 1,8483
2022-03-09,Producto 3,País 1,718
2022-03-20,Producto 3,País 3,3950
2022-10-11,Producto 2,País 2,7590
2022-01-13,Producto 3,País 3,6311
2022-01-03,Producto 1,País 3,2860
2022-11-01,Producto 2,País 1,1816
2022-09-14,Producto 3,País 2,6717
2022-05-19,Producto 1,País 3,6527
2022-08-12,Producto 2,País 2,699
2022-12-01,Producto 3,País 1,844
2022-07-26,Producto 1,País 1,4696
2022-11-17,Producto 3,País 3,5951
2022-10-15,Producto 3,País 1,6859
2022-08-20,Producto 2,País 2,1479
2022-07-13,Producto 1,País 2,6100
2022-03-07,Producto 2,País 3,2573
2022-01-17,Producto 1,País 2,5747
2022-07-28,Producto 2,País 1,7623
2022-09-17,Producto 3,País 2,5363
2022-12-25,Producto 1,País 1,7841
2022-11-04,Producto 1,País 2,7220
2022-06-06,Producto 2,País 1,617
2022-10-21,Producto 3,País 1,4711
2022-03-16,Producto 2,País 3,8148
2022-06-21,Producto 3,País 1,3187
2022-01-08,Producto 2,País 3,106
2022-03-05,Producto 3,País 3,9461
2022-10-23,Producto 3,País 1,6456
2022-08-14,Producto 3,País 1,6345
2022-11-05,Producto 1,País 1,6225
2022-04-03,Producto 2,País 2,166
2022-12-24,Producto 2,País 2,9744
2022-04-04,Producto 1,País 3,3625
2022-12-04,Producto 1,País 3,5970
2022-10-11,Producto 3,País 1,9487
2022-04-19,Producto 1,País 1,7676
2022-09-28,Producto 2,País 1,7532
2022-04-14,Producto 3,País 3,4862
2022-01-26,Producto 2,País 1,6383
2022-07-21,Producto 3,País 1,2581
2022-11-05,Producto 1,País 3,3398
2022-10-25,Producto 1,País 2,8278
2022-09-06,Producto 2,País 1,6769
2022-05-09,Producto 2,País 2,804
2022-01-03,Producto 2,País 1,4622
2022-09-26,Producto 2,País 1,7267
2022-08-12,Producto 2,País 3,8265
2022-05-01,Producto 1,País 1,6104
2022-08-22,Producto 1,País 2,3010
2022-11-05,Producto 3,País 2,9522
2022-11-24,Producto 1,País 1,1252
2022-12-14,Producto 3,País 2,8505
2022-04-07,Producto 1,País 2,8909
2022-03-28,Producto 1,País 3,5031
2022-09-21,Producto 1,País 3,7088
2022-10-15,Producto 3,País 2,3033
2022-09-08,Producto 2,País 2,6970
2022-09-02,Producto 2,País 2,5754
2022-04-04,Producto 3,País 2,4218
2022-06-19,Producto 1,País 1,4465
2022-04-27,Producto 1,País 1,2331
2022-01-21,Producto 3,País 3,482
2022-12-17,Producto 3,País 1,759
2022-08-10,Producto 1,País 3,5819
2022-09-08,Producto 1,País 3,2191
2022-07-23,Producto 3,País 2,5550
2022-06-26,Producto 1,País 3,6906
2022-12-03,Producto 2,País 3,1553
2022-07-06,Producto 3,País 3,9663
2022-02-12,Producto 3,País 3,148
2022-01-26,Producto 2,País 2,4099
2022-10-21,Producto 3,País 2,8332
2022-03-12,Producto 3,País 2,4419
2022-11-28,Producto 1,País 3,9404
2022-07-13,Producto 1,País 1,792
2022-08-06,Producto 2,País 1,8800
2022-09-09,Producto 3,País 2,8564
2022-08-27,Producto 2,País 2,1087
2022-02-18,Producto 3,País 2,9731
2022-12-06,Producto 2,País 2,4773
2022-12-24,Producto 3,País 2,5164
2022-07-04,Producto 1,País 1,5702
2022-08-24,Producto 3,País 2,3703
2022-04-12,Producto 1,País 1,297
2022-12-17,Producto 1,País 1,3311
2022-09-18,Producto 3,País 2,960
2022-12-03,Producto 1,País 2,1530
2022-05-27,Producto 1,País 3,9180
2022-01-28,Producto 2,País 2,6551
2022-06-14,Producto 2,País 3,2739
2022-08-03,Producto 3,País 3,9815
2022-11-17,Producto 1,País 3,6130
2022-07-04,Producto 1,País 2,4665
2022-06-17,Producto 3,País 3,8205
2022-01-15,Producto 2,País 3,3699
2022-08-01,Producto 1,País 1,7584
2022-04-16,Producto 3,País 3,4012
2022-08-05,Producto 1,País 3,9710
2022-06-26,Producto 1,País 2,1969
2022-08-08,Producto 1,País 1,8502
2022-09-10,Producto 3,País 2,9215
2022-11-10,Producto 3,País 1,5958
2022-06-24,Producto 3,País 1,231
2022-01-13,Producto 3,País 3,182
2022-11-27,Producto 3,País 1,4680
2022-03-17,Producto 2,País 3,4698
2022-06-09,Producto 3,País 3,3001
2022-05-06,Producto 3,País 3,8243
2022-12-22,Producto 2,País 2,3889
2022-12-10,Producto 1,País 1,5237
2022-12-07,Producto 2,País 3,3271
2022-01-13,Producto 1,País 2,4735
2022-10-04,Producto 3,País 3,7798
2022-12-05,Producto 3,País 1,8117
2022-04-06,Producto 3,País 2,720
2022-08-16,Producto 1,País 2,604
2022-11-20,Producto 2,País 1,8853
2022-10-20,Producto 2,País 3,8240
2022-03-21,Producto 1,País 2,5182
2022-06-10,Producto 1,País 1,857
2022-10-17,Producto 2,País 3,4048
2022-06-16,Producto 1,País 2,5548
2022-04-15,Producto 2,País 3,4311
2022-03-05,Producto 3,País 1,5749
2022-03-14,Producto 2,País 3,4422
2022-08-22,Producto 3,País 3,2540
2022-06-01,Producto 1,País 1,3019
2022-03-11,Producto 3,País 3,4021
2022-03-10,Producto 2,País 3,830
2022-12-02,Producto 3,País 3,7163
2022-12-19,Producto 3,País 3,5658
2022-12-07,Producto 2,País 1,1942
2022-12-13,Producto 3,País 3,1580
2022-07-20,Producto 3,País 1,9686
2022-04-13,Producto 2,País 2,1609
2022-03-14,Producto 3,País 2,7913
2022-03-05,Producto 2,País 2,9495
2022-04-14,Producto 1,País 2,2659
2022-10-25,Producto 3,País 3,6189
2022-07-03,Producto 3,País 1,7117
2022-01-12,Producto 3,País 2,4651
2022-08-21,Producto 2,País 1,1254
2022-08-19,Producto 1,País 3,8637
2022-01-13,Producto 3,País 1,1010
2022-07-08,Producto 3,País 3,6074
2022-07-05,Producto 2,País 1,8168
2022-12-02,Producto 3,País 3,3805
2022-06-22,Producto 1,País 2,3741
2022-04-16,Producto 3,País 3,898
2022-04-23,Producto 2,País 1,1739
2022-08-14,Producto 2,País 2,2118
2022-11-17,Producto 2,País 3,6627
2022-08-18,Producto 1,País 2,9059
2022-05-14,Producto 3,País 2,7745
2022-08-04,Producto 3,País 2,6172
2022-07-07,Producto 1,País 3,500
2022-07-28,Producto 3,País 1,2233
2022-07-08,Producto 2,País 3,3415
2022-05-01,Producto 3,País 1,652
2022-07-20,Producto 2,País 2,2697
2022-05-07,Producto 1,País 2,711
2022-04-23,Producto 3,País 2,9966
2022-01-02,Producto 1,País 1,8520
2022-09-26,Producto 1,País 3,4192
2022-09-23,Producto 3,País 1,3935
2022-08-24,Producto 1,País 2,9621
2022-02-18,Producto 1,País 1,2655
2022-08-18,Producto 1,País 2,5473
2022-07-15,Producto 1,País 2,9723
2022-08-12,Producto 2,País 2,5476
2022-04-07,Producto 1,País 3,5965
2022-06-22,Producto 2,País 3,5052
2022-06-06,Producto 3,País 1,1368
2022-10-18,Producto 3,País 1,3782
2022-12-12,Producto 3,País 1,8743
2022-06-28,Producto 1,País 2,9898
2022-12-08,Producto 3,País 1,6825
2022-08-13,Producto 3,País 2,307
2022-01-03,Producto 2,País 3,3770
2022-03-10,Producto 1,País 2,3458
2022-06-13,Producto 1,País 3,2744
2022-12-07,Producto 2,País 3,8955
2022-05-28,Producto 2,País 1,5045
2022-10-28,Producto 3,País 3,848
2022-01-18,Producto 2,País 2,8488
2022-02-18,Producto 2,País 3,1119
2022-07-12,Producto 2,País 1,4032
2022-03-16,Producto 3,País 2,5832
2022-07-03,Producto 1,País 3,4630
2022-09-22,Producto 3,País 1,8843
2022-06-17,Producto 1,País 1,3255
2022-07-16,Producto 2,País 1,9694
2022-03-11,Producto 3,País 2,347
2022-04-05,Producto 3,País 3,2089
2022-08-23,Producto 1,País 3,2528
2022-07-19,Producto 1,País 1,9614
2022-09-05,Producto 1,País 2,8623
2022-04-16,Producto 3,País 2,1338
2022-11-25,Producto 2,País 1,2799
2022-07-28,Producto 1,País 3,4645
2022-03-06,Producto 1,País 1,9048
2022-11-04,Producto 2,País 2,7290
2022-01-22,Producto 3,País 2,9088
2022-05-01,Producto 2,País 2,4400
2022-09-15,Producto 2,País 3,5267
2022-04-08,Producto 3,País 3,2365
2022-07-22,Producto 3,País 2,4766
2022-11-28,Producto 3,País 1,4692
2022-11-19,Producto 1,País 1,2816
2022-05-13,Producto 3,País 1,285
2022-12-24,Producto 1,País 3,7569
2022-01-22,Producto 1,País 1,614
2022-02-02,Producto 2,País 3,7036
2022-11-13,Producto 1,País 3,6154
2022-09-09,Producto 3,País 2,1255
2022-04-08,Producto 1,País 3,1186
2022-10-27,Producto 3,País 2,846
2022-05-06,Producto 3,País 2,8129
2022-03-22,Producto 1,País 3,5225
2022-05-20,Producto 2,País 2,1575
2022-02-14,Producto 2,País 3,6258
2022-06-20,Producto 2,País 1,4461
2022-04-23,Producto 2,País 3,8475
2022-05-03,Producto 2,País 2,8572
2022-12-17,Producto 1,País 3,7408
2022-03-28,Producto 2,País 1,5625
2022-09-18,Producto 1,País 3,7520
2022-10-04,Producto 3,País 3,1509
2022-08-19,Producto 2,País 1,6604
2022-12-16,Producto 2,País 2,6999
2022-07-26,Producto 2,País 2,9554
2022-01-24,Producto 2,País 3,6551
2022-02-21,Producto 1,País 2,5774
2022-02-10,Producto 3,País 1,5020
2022-02-04,Producto 3,País 3,8272
2022-07-08,Producto 3,País 3,794
2022-08-17,Producto 1,País 3,9217
2022-06-20,Producto 1,País 3,2218
2022-12-08,Producto 1,País 1,2447
2022-08-16,Producto 1,País 2,6243
2022-07-14,Producto 1,País 3,4936
2022-08-10,Producto 2,País 2,7700
2022-12-24,Producto 3,País 2,376
2022-11-21,Producto 3,País 2,1482
2022-09-04,Producto 3,País 1,8575
2022-07-09,Producto 2,País 2,9458
2022-02-12,Producto 2,País 2,5462
2022-04-12,Producto 2,País 2,5484
2022-05-28,Producto 3,País 2,4569
2022-05-09,Producto 2,País 3,9028
2022-06-01,Producto 2,País 3,937
2022-11-06,Producto 1,País 3,1237
2022-02-18,Producto 3,País 2,8475
2022-10-06,Producto 3,País 2,6031
2022-07-26,Producto 3,País 3,8126
2022-12-05,Producto 2,País 3,563
2022-11-25,Producto 3,País 1,9731
2022-02-02,Producto 2,País 2,9940
2022-05-12,Producto 3,País 3,6925
2022-11-14,Producto 1,País 2,7062
2022-03-09,Producto 1,País 2,8969
2022-09-27,Producto 2,País 1,3479
2022-01-23,Producto 3,País 1,999
2022-12-06,Producto 3,País 2,2730
2022-11-04,Producto 1,País 2,6290
2022-07-15,Producto 2,País 2,4801
2022-05-22,Producto 3,País 1,7235
2022-06-11,Producto 2,País 3,3217
2022-03-16,Producto 1,País 2,4242
2022-11-25,Producto 3,País 1,1040
2022-04-13,Producto 2,País 3,6103
2022-02-18,Producto 1,País 2,5007
2022-08-03,Producto 2,País 2,3980
2022-01-03,Producto 1,País 1,6570
2022-03-22,Producto 2,País 1,9900
2022-01-01,Producto 3,País 2,2060
2022-03-12,Producto 1,País 2,5914
2022-04-01,Producto 2,País 1,6513
2022-07-22,Producto 3,País 1,9286
2022-11-17,Producto 3,País 2,5541
2022-03-03,Producto 3,País 1,9043
2022-01-17,Producto 2,País 3,4302
2022-12-09,Producto 1,País 1,5107
2022-05-25,Producto 1,País 1,1578
2022-02-24,Producto 2,País 1,1273
2022-10-07,Producto 1,País 3,1164
2022-09-13,Producto 1,País 3,8678
2022-10-12,Producto 2,País 1,2741
2022-08-26,Producto 3,País 2,5915
2022-02-17,Producto 3,País 2,9751
2022-08-05,Producto 3,País 2,4514
2022-01-24,Producto 1,País 2,1787
2022-04-23,Producto 2,País 3,8827
2022-07-14,Producto 3,País 3,3005
2022-01-03,Producto 1,País 3,2871
2022-04-27,Producto 1,País 1,554
2022-12-06,Producto 3,País 2,5057
2022-08-02,Producto 1,País 3,9369
2022-07-19,Producto 3,País 2,9041
2022-08-06,Producto 3,País 1,790
2022-05-09,Producto 3,País 1,7772
2022-02-21,Producto 1,País 1,1295
2022-08-11,Producto 3,País 3,1327
2022-04-04,Producto 2,País 2,7614
2022-09-08,Producto 1,País 1,1557
2022-12-17,Producto 1,País 3,4541
2022-08-08,Producto 3,País 3,1354
2022-09-18,Producto 1,País 1,6340
2022-04-26,Producto 2,País 3,9887
2022-04-06,Producto 1,País 3,3630
2022-10-22,Producto 2,País 2,960
2022-07-09,Producto 1,País 1,6436
2022-11-07,Producto 3,País 2,8181
2022-11-03,Producto 2,País 3,940
2022-05-16,Producto 3,País 1,8849
2022-12-25,Producto 3,País 2,389
2022-07-17,Producto 3,País 3,7883
2022-02-18,Producto 1,País 3,4702
2022-11-27,Producto 2,País 1,5868
2022-02-16,Producto 2,País 3,895
2022-11-09,Producto 3,País 1,8335
2022-10-05,Producto 2,País 3,6228
2022-06-13,Producto 3,País 2,4204
2022-02-17,Producto 1,País 1,6432
2022-05-08,Producto 2,País 2,2366
2022-03-26,Producto 2,País 3,7373
2022-08-16,Producto 2,País 3,9701
2022-03-26,Producto 3,País 1,9357
2022-11-21,Producto 3,País 3,8001
2022-05-25,Producto 1,País 2,5816
2022-02-06,Producto 1,País 2,2373
2022-05-03,Producto 3,País 2,3935
2022-02-23,Producto 3,País 1,3465
2022-10-05,Producto 2,País 2,6820
2022-04-18,Producto 2,País 1,7426
2022-06-03,Producto 3,País 1,4905
2022-01-18,Producto 3,País 3,5309
2022-03-18,Producto 3,País 1,3648
2022-04-11,Producto 1,País 2,5011
2022-05-12,Producto 3,País 2,3745
2022-10-27,Producto 2,País 3,7510
2022-08-16,Producto 2,País 2,423
2022-04-06,Producto 3,País 2,6183
2022-09-13,Producto 1,País 3,5123
2022-09-25,Producto 1,País 3,5552
2022-09-09,Producto 3,País 1,6400
2022-04-01,Producto 2,País 3,9953
2022-11-17,Producto 1,País 3,8399
2022-06-11,Producto 2,País 2,3799
2022-12-25,Producto 1,País 2,4577
2022-09-19,Producto 3,País 1,3323
2022-02-11,Producto 3,País 2,8212
2022-04-07,Producto 1,País 1,304
2022-05-17,Producto 2,País 2,2386
2022-06-04,Producto 2,País 3,2342
2022-05-19,Producto 1,País 2,552
2022-12-04,Producto 2,País 2,5144
2022-06-14,Producto 3,País 1,198
2022-03-24,Producto 1,País 2,6039
2022-05-05,Producto 1,País 3,5564
2022-07-23,Producto 2,País 1,3892
2022-11-13,Producto 3,País 2,906
2022-07-03,Producto 3,País 2,2608
2022-07-24,Producto 2,País 1,5499
2022-09-07,Producto 2,País 1,4105
2022-12-25,Producto 3,País 1,6780
2022-12-13,Producto 2,País 3,3065
2022-06-05,Producto 2,País 2,7002
2022-09-22,Producto 2,País 1,2301
2022-12-03,Producto 3,País 1,8913
2022-10-05,Producto 1,País 3,6440
2022-07-13,Producto 1,País 2,4269
2022-03-27,Producto 2,País 3,6038
2022-06-27,Producto 2,País 3,1557
2022-06-07,Producto 1,País 1,5392
2022-09-03,Producto 3,País 1,2428
2022-08-16,Producto 3,País 2,128
2022-12-10,Producto 1,País 3,5705
2022-05-20,Producto 3,País 2,8369
2022-06-02,Producto 1,País 3,7729
2022-09-25,Producto 1,País 3,5952
2022-07-20,Producto 3,País 2,9018
2022-03-24,Producto 3,País 2,4601
2022-12-08,Producto 3,País 3,5421
2022-08-25,Producto 1,País 3,7902
2022-01-06,Producto 2,País 1,5052
2022-11-21,Producto 3,País 1,3518
2022-01-13,Producto 2,País 3,3201
2022-04-10,Producto 1,País 3,2978
2022-12-03,Producto 2,País 2,8787
2022-09-09,Producto 1,País 1,2890
2022-01-01,Producto 3,País 3,2049
2022-10-15,Producto 3,País 1,4126
2022-08-11,Producto 1,País 2,7497
2022-09-07,Producto 3,País 1,3145
2022-09-23,Producto 2,País 3,992
2022-05-26,Producto 2,País 1,3299
2022-09-02,Producto 3,País 2,4247
2022-07-19,Producto 2,País 3,8221
2022-10-03,Producto 3,País 2,877
2022-01-21,Producto 1,País 2,8069
2022-08-17,Producto 3,País 3,5953
2022-07-06,Producto 1,País 2,6963
2022-08-28,Producto 1,País 1,6604
2022-02-28,Producto 3,País 3,1323
2022-03-06,Producto 2,País 2,836
2022-06-06,Producto 1,País 3,4807
2022-02-27,Producto 3,País 1,5606
2022-09-02,Producto 2,País 2,6605
2022-01-21,Producto 3,País 1,3687
2022-07-11,Producto 1,País 2,7299
2022-02-25,Producto 2,País 2,9172
2022-03-23,Producto 1,País 3,1374
2022-07-04,Producto 3,País 3,3124
2022-12-25,Producto 1,País 2,1293
2022-02-19,Producto 1,País 3,6698
2022-06-11,Producto 3,País 2,8325
2022-02-06,Producto 3,País 1,9221
2022-08-28,Producto 3,País 3,2772
2022-09-18,Producto 2,País 1,6892
2022-11-19,Producto 3,País 3,9927
2022-08-06,Producto 3,País 1,7109
2022-02-19,Producto 1,País 1,7993
2022-09-20,Producto 1,País 3,2255
2022-03-22,Producto 1,País 3,815
2022-05-04,Producto 3,País 2,2137
2022-07-17,Producto 3,País 3,1701
2022-12-20,Producto 3,País 2,2469
2022-09-17,Producto 3,País 3,2615
2022-04-03,Producto 1,País 3,3904
2022-11-28,Producto 3,País 1,975
2022-08-13,Producto 2,País 1,2710
2022-07-18,Producto 3,País 3,6772
2022-04-27,Producto 2,País 2,8355
2022-12-05,Producto 1,País 3,6545
2022-07-11,Producto 1,País 3,3789
2022-06-02,Producto 3,País 3,9732
2022-04-06,Producto 2,País 3,240
2022-06-26,Producto 3,País 2,3858
2022-03-22,Producto 3,País 2,5022
2022-11-12,Producto 1,País 3,2496
2022-02-11,Producto 1,País 3,8830
2022-09-12,Producto 1,País 2,8208
2022-06-11,Producto 1,País 3,5407
2022-07-21,Producto 1,País 2,6775
2022-03-16,Producto 2,País 2,1784
2022-08-04,Producto 1,País 1,5153
2022-02-18,Producto 1,País 2,4445
2022-07-04,Producto 3,País 2,6777
2022-04-15,Producto 3,País 3,2320
2022-02-03,Producto 3,País 1,3897
2022-01-14,Producto 3,País 1,6964
2022-01-06,Producto 3,País 3,9178
2022-10-08,Producto 3,País 1,8499
2022-07-21,Producto 3,País 3,1245
2022-10-21,Producto 3,País 3,1594
2022-11-11,Producto 2,País 1,5866
2022-07-22,Producto 2,País 1,2267
2022-06-02,Producto 1,País 1,1449
2022-04-17,Producto 1,País 2,4731
2022-01-25,Producto 2,País 3,1264
2022-06-23,Producto 2,País 1,2301
2022-01-24,Producto 3,País 3,2739
2022-09-07,Producto 2,País 1,2564
2022-03-20,Producto 2,País 1,5999
2022-12-20,Producto 1,País 3,7946
2022-09-06,Producto 1,País 1,646
2022-06-12,Producto 3,País 1,2760
2022-12-02,Producto 2,País 3,6305
2022-08-01,Producto 3,País 2,8421
2022-07-04,Producto 3,País 3,3104
2022-09-25,Producto 3,País 1,3986
2022-10-25,Producto 3,País 2,4260
2022-09-15,Producto 1,País 2,4605
2022-01-22,Producto 3,País 2,6667
2022-02-08,Producto 2,País 3,9486
2022-07-15,Producto 1,País 1,3570
2022-03-12,Producto 3,País 3,1330
2022-06-11,Producto 2,País 2,1686
2022-01-19,Producto 3,País 3,738
2022-11-10,Producto 1,País 2,4935
2022-11-20,Producto 1,País 2,1399
2022-03-09,Producto 3,País 1,3755
2022-03-04,Producto 1,País 2,8990
2022-04-13,Producto 2,País 2,6999
2022-06-23,Producto 1,País 1,5175
2022-08-03,Producto 2,País 2,4520
2022-06-09,Producto 1,País 3,911
2022-06-10,Producto 1,País 2,9358
2022-01-02,Producto 1,País 1,7126
2022-05-22,Producto 1,País 3,700
2022-06-22,Producto 1,País 3,1515
2022-05-16,Producto 1,País 2,7377
2022-06-22,Producto 3,País 1,2037
2022-09-22,Producto 2,País 1,2984
2022-08-14,Producto 2,País 3,4541
2022-03-18,Producto 2,País 3,1945
2022-04-15,Producto 3,País 1,3605
2022-12-20,Producto 2,País 3,4865
2022-05-16,Producto 2,País 1,9086
2022-06-28,Producto 1,País 2,4788
2022-06-04,Producto 3,País 2,3483
2022-12-19,Producto 1,País 1,4416
2022-03-20,Producto 3,País 3,6960
2022-02-20,Producto 1,País 2,1044
2022-03-03,Producto 2,País 2,8059
2022-08-03,Producto 2,País 3,9662
2022-04-16,Producto 1,País 1,6070
2022-05-04,Producto 1,País 1,6154
2022-01-17,Producto 3,País 3,2676
2022-01-27,Producto 3,País 3,9968
2022-05-15,Producto 3,País 2,9076
2022-01-04,Producto 3,País 1,5437
2022-01-25,Producto 1,País 3,9816
2022-05-18,Producto 2,País 2,2713
2022-03-06,Producto 2,País 1,1541
2022-05-17,Producto 1,País 3,7400
2022-09-28,Producto 1,País 1,260
2022-04-19,Producto 1,País 3,7920
2022-04-11,Producto 2,País 3,5638
2022-11-15,Producto 2,País 1,2774
2022-07-21,Producto 2,País 2,8632
2022-09-20,Producto 3,País 3,9763
2022-02-11,Producto 2,País 3,6393
2022-03-22,Producto 2,País 2,3024
2022-06-27,Producto 2,País 1,4712
2022-04-26,Producto 2,País 3,9299
2022-02-24,Producto 1,País 2,443
2022-10-28,Producto 3,País 2,6417
2022-03-23,Producto 1,País 2,2332
2022-10-10,Producto 3,País 1,1161
2022-08-20,Producto 3,País 2,8262
2022-03-03,Producto 3,País 3,2548
2022-07-18,Producto 2,País 3,2775
2022-05-05,Producto 1,País 1,1604
2022-07-26,Producto 1,País 1,568
2022-07-01,Producto 2,País 3,7331
2022-09-18,Producto 2,País 3,1490
2022-03-07,Producto 3,País 1,3260
2022-03-18,Producto 3,País 1,3852
2022-04-24,Producto 1,País 3,7540
2022-02-18,Producto 2,País 3,478
2022-05-21,Producto 2,País 2,5965
2022-03-15,Producto 2,País 2,5697
2022-07-12,Producto 2,País 1,1308
2022-04-06,Producto 3,País 1,918
2022-12-03,Producto 2,País 2,9222
2022-07-20,Producto 3,País 1,9285
2022-11-03,Producto 3,País 2,3874
2022-08-20,Producto 1,País 1,4361
2022-12-06,Producto 2,País 3,8186
