Fecha,Producto,País,Ventas
2022-07-01,Producto 1,País 2,5096
2022-06-05,Producto 2,País 2,9506
2022-06-14,Producto 2,País 3,4081
2022-01-07,Producto 2,País 2,4545
2022-02-26,Producto 3,País 3,3200
2022-04-28,Producto 3,País 3,7299
2022-09-15,Producto 3,País 2,185
2022-05-09,Producto 3,País 3,6637
2022-01-15,Producto 2,País 3,4247
2022-01-11,Producto 2,País 1,7379
2022-06-10,Producto 3,País 3,3793
2022-01-19,Producto 1,País 2,9932
2022-01-17,Producto 1,País 3,8651
2022-08-15,Producto 3,País 3,6694
2022-07-26,Producto 3,País 3,1427
2022-04-06,Producto 3,País 1,3040
2022-07-27,Producto 1,País 1,7735
2022-04-23,Producto 3,País 3,220
2022-12-23,Producto 2,País 3,2399
2022-09-03,Producto 2,País 1,3579
2022-11-18,Producto 2,País 1,5851
2022-11-06,Producto 2,País 1,5071
2022-12-15,Producto 1,País 2,9575
2022-04-19,Producto 2,País 3,3331
2022-08-27,Producto 1,País 3,5414
2022-09-28,Producto 2,País 2,6146
2022-06-23,Producto 2,País 2,9553
2022-05-08,Producto 1,País 3,8048
2022-04-21,Producto 2,País 3,4097
2022-07-25,Producto 2,País 3,9640
2022-01-03,Producto 3,País 3,8181
2022-09-17,Producto 1,País 1,1370
2022-07-01,Producto 2,País 3,7489
2022-09-13,Producto 2,País 3,2730
2022-02-17,Producto 3,País 3,3614
2022-07-03,Producto 1,País 2,8320
2022-04-12,Producto 2,País 3,1571
2022-03-26,Producto 1,País 1,3586
2022-02-01,Producto 1,País 2,1597
2022-06-01,Producto 1,País 2,8046
2022-09-13,Producto 1,País 3,5784
2022-06-07,Producto 3,País 2,5108
2022-04-16,Producto 1,País 2,6395
2022-12-01,Producto 1,País 2,788
2022-10-21,Producto 1,País 3,3705
2022-01-24,Producto 3,País 3,813
2022-12-10,Producto 2,País 3,6054
2022-10-26,Producto 2,País 2,3289
2022-11-17,Producto 2,País 2,7574
2022-10-04,Producto 1,País 2,5212
2022-06-27,Producto 3,País 1,2433
2022-04-14,Producto 2,País 3,3994
2022-10-13,Producto 2,País 3,8129
2022-07-08,Producto 2,País 2,9022
2022-10-04,Producto 3,País 1,3981
2022-03-28,Producto 1,País 1,7933
2022-07-02,Producto 3,País 1,4993
2022-09-22,Producto 1,País 1,6359
2022-06-16,Producto 1,País 2,3202
2022-02-06,Producto 2,País 2,3482
2022-11-23,Producto 2,País 2,2625
2022-11-16,Producto 1,País 1,4270
2022-07-28,Producto 3,País 3,1305
2022-07-28,Producto 1,País 3,3408
2022-04-13,Producto 2,País 1,4880
2022-03-10,Producto 1,País 2,4370
2022-06-20,Producto 3,País 2,1639
2022-01-28,Producto 2,País 1,1290
2022-06-12,Producto 1,País 1,1285
2022-02-08,Producto 3,País 1,4143
2022-01-02,Producto 1,País 2,4270
2022-06-23,Producto 1,País 1,531
2022-03-17,Producto 2,País 2,1199
2022-10-27,Producto 2,País 3,4314
2022-05-06,Producto 2,País 1,1848
2022-06-03,Producto 3,País 3,9368
2022-09-22,Producto 3,País 1,1299
2022-06-28,Producto 2,País 2,3655
2022-03-13,Producto 2,País 1,143
2022-04-15,Producto 2,País 2,8512
2022-06-17,Producto 1,País 1,2990
2022-03-23,Producto 1,País 1,6035
2022-02-26,Producto 2,País 1,1069
2022-09-21,Producto 2,País 2,5651
2022-04-03,Producto 3,País 1,9742
2022-04-05,Producto 1,País 1,5905
2022-05-15,Producto 2,País 3,9791
2022-06-21,Producto 2,País 1,5991
2022-06-12,Producto 3,País 1,928
2022-03-25,Producto 3,País 3,7022
2022-06-03,Producto 2,País 3,9728
2022-01-26,Producto 1,País 3,8275
2022-03-25,Producto 1,País 3,5456
2022-05-09,Producto 3,País 1,8530
2022-03-02,Producto 3,País 1,7323
2022-08-01,Producto 2,País 3,8122
2022-09-09,Producto 1,País 1,9946
2022-03-21,Producto 1,País 3,7129
2022-01-26,Producto 2,País 2,9340
2022-05-17,Producto 1,País 3,1958
2022-07-22,Producto 3,País 3,4986
2022-02-13,Producto 1,País 2,3702
2022-09-24,Producto 1,País 2,8561
2022-07-12,Producto 3,País 3,9545
2022-05-21,Producto 2,País 3,3740
2022-01-06,Producto 2,País 2,6189
2022-06-01,Producto 3,País 2,4595
2022-09-04,Producto 1,País 3,2497
2022-01-07,Producto 1,País 2,2919
2022-05-21,Producto 3,País 2,9806
2022-09-23,Producto 3,País 2,732
2022-11-03,Producto 1,País 2,7303
2022-08-10,Producto 3,País 3,5246
2022-11-07,Producto 2,País 3,6906
2022-08-06,Producto 3,País 1,4372
2022-04-10,Producto 2,País 2,2774
2022-02-01,Producto 1,País 2,2986
2022-07-02,Producto 2,País 1,5521
2022-11-19,Producto 3,País 1,3109
2022-02-04,Producto 2,País 1,5238
2022-08-09,Producto 3,País 2,744
2022-10-04,Producto 1,País 3,5141
2022-06-19,Producto 1,País 3,2394
2022-12-05,Producto 3,País 3,6068
2022-10-26,Producto 1,País 3,4850
2022-02-13,Producto 3,País 1,2453
2022-09-18,Producto 3,País 3,8926
2022-06-12,Producto 2,País 3,4562
2022-08-23,Producto 3,País 3,1181
2022-11-19,Producto 2,País 3,1440
2022-11-24,Producto 1,País 2,4326
2022-06-22,Producto 2,País 2,2743
2022-03-17,Producto 3,País 1,8477
2022-08-13,Producto 2,País 3,7093
2022-06-10,Producto 2,País 1,3361
2022-07-18,Producto 1,País 1,5579
2022-08-02,Producto 3,País 1,333
2022-12-15,Producto 2,País 3,4465
2022-01-12,Producto 1,País 3,729
2022-02-23,Producto 3,País 3,1261
2022-11-17,Producto 3,País 3,4425
2022-07-03,Producto 1,País 1,4786
2022-01-17,Producto 1,País 3,4879
2022-07-08,Producto 2,País 1,8431
2022-02-17,Producto 1,País 2,3727
2022-12-16,Producto 1,País 3,9819
2022-11-25,Producto 3,País 1,8002
2022-05-03,Producto 2,País 2,9499
2022-08-28,Producto 3,País 2,2057
2022-07-26,Producto 1,País 3,2856
2022-09-15,Producto 3,País 3,1331
2022-07-04,Producto 3,País 3,6455
2022-10-25,Producto 3,País 1,5546
2022-07-13,Producto 3,País 3,4732
2022-02-14,Producto 1,País 3,9924
2022-12-03,Producto 3,País 1,4368
2022-07-21,Producto 3,País 2,4781
2022-04-20,Producto 3,País 3,3871
2022-07-05,Producto 3,País 3,7701
2022-11-23,Producto 1,País 2,2181
2022-10-19,Producto 3,País 2,599
2022-10-15,Producto 1,País 2,1199
2022-08-05,Producto 3,País 2,6907
2022-04-10,Producto 3,País 1,8476
2022-03-13,Producto 3,País 3,601
2022-10-09,Producto 2,País 1,9716
2022-05-26,Producto 3,País 3,5600
2022-05-20,Producto 1,País 2,5323
2022-06-03,Producto 2,País 2,8026
2022-03-19,Producto 2,País 3,7768
2022-03-23,Producto 2,País 2,8097
2022-01-27,Producto 3,País 1,5616
2022-03-07,Producto 1,País 2,3018
2022-06-26,Producto 2,País 1,6865
2022-02-19,Producto 3,País 2,4354
2022-08-22,Producto 1,País 1,6596
2022-10-12,Producto 3,País 3,5696
2022-06-23,Producto 2,País 2,4452
2022-08-24,Producto 3,País 1,2118
2022-03-17,Producto 2,País 2,9564
2022-08-01,Producto 2,País 1,1149
2022-08-17,Producto 3,País 3,6719
2022-01-02,Producto 2,País 1,5065
2022-03-05,Producto 2,País 1,8307
2022-12-01,Producto 2,País 3,1802
2022-04-26,Producto 1,País 3,9550
2022-11-12,Producto 2,País 1,8941
2022-05-17,Producto 1,País 3,1519
2022-03-11,Producto 2,País 2,9143
2022-06-17,Producto 2,País 2,570
2022-02-20,Producto 3,País 1,1181
2022-07-08,Producto 3,País 3,5128
2022-04-13,Producto 2,País 1,5830
2022-02-03,Producto 3,País 3,6222
2022-06-19,Producto 2,País 1,1084
2022-10-26,Producto 1,País 2,8270
2022-04-06,Producto 1,País 2,1579
2022-10-26,Producto 3,País 1,9225
2022-10-25,Producto 3,País 1,4910
2022-11-18,Producto 2,País 3,2348
2022-07-15,Producto 2,País 1,9431
2022-09-02,Producto 1,País 2,4246
2022-03-04,Producto 1,País 3,7205
2022-05-02,Producto 1,País 2,3237
2022-02-20,Producto 3,País 2,1645
2022-02-03,Producto 1,País 1,7700
2022-05-21,Producto 2,País 3,6072
2022-09-18,Producto 1,País 1,639
2022-10-22,Producto 1,País 2,516
2022-10-06,Producto 2,País 2,3803
2022-02-14,Producto 3,País 1,5175
2022-12-24,Producto 1,País 2,3553
2022-11-12,Producto 1,País 2,6743
2022-11-17,Producto 3,País 3,4750
2022-08-01,Producto 1,País 2,9098
2022-05-03,Producto 1,País 2,4669
2022-09-24,Producto 2,País 2,9060
2022-07-27,Producto 1,País 3,6623
2022-08-27,Producto 1,País 1,5263
2022-12-02,Producto 1,País 1,1045
2022-01-24,Producto 1,País 2,1250
2022-10-23,Producto 1,País 1,3031
2022-11-20,Producto 1,País 2,5138
2022-05-25,Producto 1,País 2,4143
2022-07-02,Producto 3,País 2,2258
2022-01-14,Producto 3,País 2,3397
2022-09-19,Producto 3,País 1,6874
2022-11-25,Producto 2,País 1,7285
2022-04-09,Producto 2,País 2,3413
2022-03-23,Producto 1,País 1,1199
2022-09-12,Producto 3,País 2,7226
2022-08-05,Producto 2,País 2,7598
2022-02-06,Producto 1,País 3,9871
2022-11-20,Producto 2,País 3,9995
2022-10-03,Producto 3,País 3,3689
2022-08-21,Producto 1,País 2,7546
2022-02-07,Producto 2,País 1,5400
2022-07-19,Producto 3,País 2,7462
2022-08-20,Producto 2,País 1,8936
2022-07-14,Producto 1,País 2,6000
2022-06-11,Producto 3,País 2,4398
2022-08-06,Producto 3,País 1,5478
2022-05-01,Producto 3,País 1,8607
2022-04-19,Producto 3,País 2,796
2022-09-02,Producto 2,País 1,4609
2022-05-24,Producto 3,País 3,3352
2022-09-21,Producto 1,País 2,3627
2022-04-07,Producto 2,País 3,9656
2022-03-04,Producto 3,País 2,1580
2022-11-24,Producto 1,País 2,139
2022-08-19,Producto 2,País 1,9716
2022-04-19,Producto 2,País 1,5357
2022-09-25,Producto 3,País 2,213
2022-05-05,Producto 2,País 3,3230
2022-03-18,Producto 2,País 1,7436
2022-09-15,Producto 3,País 2,2808
2022-02-11,Producto 1,País 1,1695
2022-02-02,Producto 3,País 2,9197
2022-03-27,Producto 1,País 3,3278
2022-12-24,Producto 3,País 3,5548
2022-04-19,Producto 3,País 2,8406
2022-03-05,Producto 3,País 3,5809
2022-04-15,Producto 1,País 2,8079
2022-01-13,Producto 2,País 3,764
2022-01-14,Producto 2,País 1,6000
2022-05-19,Producto 3,País 3,7453
2022-07-27,Producto 2,País 3,4985
2022-09-24,Producto 3,País 2,9871
2022-01-06,Producto 1,País 2,6875
2022-02-27,Producto 1,País 2,8263
2022-02-04,Producto 2,País 2,3673
2022-04-06,Producto 1,País 2,2288
2022-06-13,Producto 2,País 2,8698
2022-10-25,Producto 3,País 3,8830
2022-12-04,Producto 1,País 1,1220
2022-03-03,Producto 3,País 2,9173
2022-12-27,Producto 3,País 2,2586
2022-11-10,Producto 3,País 2,7705
2022-06-07,Producto 1,País 1,8720
2022-11-10,Producto 1,País 1,5491
2022-04-17,Producto 1,País 1,5109
2022-05-20,Producto 2,País 1,1132
2022-01-28,Producto 1,País 3,6183
2022-01-14,Producto 1,País 3,7746
2022-12-23,Producto 2,País 2,8835
2022-03-07,Producto 3,País 1,2261
2022-02-11,Producto 1,País 2,6294
2022-01-06,Producto 3,País 1,6499
2022-08-08,Producto 2,País 3,9526
2022-02-19,Producto 3,País 3,6795
2022-04-23,Producto 1,País 2,9636
2022-05-03,Producto 3,País 2,4931
2022-02-16,Producto 3,País 3,1525
2022-10-18,Producto 2,País 3,5405
2022-02-03,Producto 1,País 2,6412
2022-10-05,Producto 3,País 2,5534
2022-11-10,Producto 1,País 1,7238
2022-03-25,Producto 1,País 3,5618
2022-09-20,Producto 2,País 1,9426
2022-08-13,Producto 2,País 3,3624
2022-01-18,Producto 2,País 1,6839
2022-04-19,Producto 1,País 1,7051
2022-06-17,Producto 2,País 2,1255
2022-04-23,Producto 2,País 2,7982
2022-11-01,Producto 3,País 1,5874
2022-02-22,Producto 2,País 1,8266
2022-10-20,Producto 2,País 1,2227
2022-06-02,Producto 2,País 3,2574
2022-05-09,Producto 3,País 3,1865
2022-10-09,Producto 3,País 2,2435
2022-06-12,Producto 1,País 2,7690
2022-07-04,Producto 2,País 3,6937
2022-05-19,Producto 3,País 3,6549
2022-10-21,Producto 2,País 2,9800
2022-10-25,Producto 1,País 1,5690
2022-08-02,Producto 3,País 1,3518
2022-01-08,Producto 3,País 2,2295
2022-07-04,Producto 1,País 2,2220
2022-09-13,Producto 2,País 3,2134
2022-03-07,Producto 3,País 3,1003
2022-11-08,Producto 2,País 3,8321
2022-01-08,Producto 3,País 2,3716
2022-11-23,Producto 3,País 1,1112
2022-08-17,Producto 2,País 2,9824
2022-11-01,Producto 1,País 3,1334
2022-11-02,Producto 3,País 2,5559
2022-11-08,Producto 2,País 2,8137
2022-04-18,Producto 3,País 2,3239
2022-02-18,Producto 3,País 1,6931
2022-07-18,Producto 2,País 1,1544
2022-05-01,Producto 2,País 3,796
2022-03-27,Producto 2,País 1,9197
2022-12-28,Producto 2,País 2,6948
2022-10-09,Producto 2,País 2,3533
2022-06-21,Producto 3,País 2,4563
2022-08-10,Producto 1,País 3,9518
2022-07-06,Producto 2,País 2,9984
2022-05-22,Producto 2,País 2,8477
2022-12-03,Producto 2,País 3,9611
2022-03-11,Producto 3,País 3,6743
2022-07-17,Producto 3,País 2,2921
2022-04-24,Producto 2,País 3,5680
2022-07-23,Producto 1,País 2,486
2022-06-14,Producto 3,País 1,7030
2022-03-18,Producto 2,País 3,3185
2022-08-10,Producto 2,País 1,4265
2022-12-01,Producto 2,País 1,8647
2022-12-25,Producto 2,País 2,2719
2022-02-24,Producto 3,País 2,2687
2022-02-05,Producto 3,País 2,5033
2022-09-28,Producto 2,País 1,6041
2022-11-12,Producto 2,País 1,1719
2022-06-27,Producto 1,País 1,6986
2022-02-25,Producto 2,País 3,3666
2022-06-08,Producto 1,País 3,1258
2022-06-04,Producto 3,País 3,4717
2022-02-15,Producto 3,País 3,7820
2022-05-06,Producto 3,País 1,2650
2022-11-06,Producto 3,País 2,3245
2022-10-05,Producto 3,País 3,6935
2022-12-22,Producto 3,País 1,4214
2022-01-13,Producto 2,País 3,4682
2022-04-27,Producto 1,País 1,2555
2022-11-13,Producto 1,País 2,6719
2022-02-07,Producto 1,País 3,3173
2022-08-07,Producto 2,País 3,8667
2022-07-01,Producto 2,País 1,6747
2022-02-09,Producto 1,País 2,845
2022-08-06,Producto 2,País 1,5136
2022-12-03,Producto 3,País 2,6415
2022-10-14,Producto 3,País 2,6239
2022-07-10,Producto 1,País 2,3384
2022-10-01,Producto 2,País 1,9309
2022-10-17,Producto 1,País 2,5127
2022-11-22,Producto 2,País 3,1367
2022-12-17,Producto 1,País 1,7819
2022-04-01,Producto 2,País 2,9586
2022-05-10,Producto 1,País 2,9402
2022-04-28,Producto 2,País 2,5766
2022-09-16,Producto 2,País 2,9107
2022-10-11,Producto 1,País 3,3711
2022-12-25,Producto 1,País 3,2789
2022-08-13,Producto 2,País 3,6397
2022-04-28,Producto 2,País 1,1938
2022-01-21,Producto 2,País 3,9326
2022-05-24,Producto 3,País 2,1663
2022-02-28,Producto 3,País 2,6467
2022-01-14,Producto 3,País 2,3481
2022-04-14,Producto 1,País 2,2503
2022-08-06,Producto 3,País 1,349
2022-10-24,Producto 3,País 3,1784
2022-11-15,Producto 2,País 3,1307
2022-05-19,Producto 1,País 1,4505
2022-03-10,Producto 2,País 1,159
2022-10-23,Producto 2,País 3,7336
2022-05-03,Producto 1,País 2,4051
2022-03-26,Producto 3,País 3,591
2022-07-16,Producto 2,País 3,8780
2022-09-02,Producto 1,País 3,1825
2022-06-10,Producto 2,País 2,2516
2022-11-19,Producto 2,País 3,866
2022-08-03,Producto 1,País 1,9802
2022-02-26,Producto 2,País 2,3321
2022-06-20,Producto 1,País 1,840
2022-05-11,Producto 3,País 1,9926
2022-07-14,Producto 3,País 3,3489
2022-01-14,Producto 3,País 2,8862
2022-09-06,Producto 1,País 2,7797
2022-02-26,Producto 3,País 3,112
2022-12-22,Producto 2,País 3,8066
2022-09-14,Producto 1,País 2,8331
2022-10-23,Producto 1,País 3,2302
2022-12-16,Producto 1,País 1,597
2022-08-03,Producto 2,País 1,6698
2022-02-08,Producto 2,País 2,8695
2022-05-05,Producto 1,País 1,5429
2022-02-12,Producto 2,País 2,187
2022-03-12,Producto 3,País 1,2225
2022-04-20,Producto 2,País 3,8592
2022-01-15,Producto 2,País 3,5453
2022-03-07,Producto 1,País 3,2994
2022-07-20,Producto 2,País 2,2536
2022-07-06,Producto 3,País 2,937
2022-10-14,Producto 1,País 2,2692
2022-01-27,Producto 2,País 3,7563
2022-01-15,Producto 1,País 3,5007
2022-01-05,Producto 2,País 3,2459
2022-03-25,Producto 3,País 1,4968
2022-03-03,Producto 2,País 3,9735
2022-07-02,Producto 2,País 2,5309
2022-12-26,Producto 3,País 3,1559
2022-04-14,Producto 1,País 1,8053
2022-11-12,Producto 3,País 1,1998
2022-10-15,Producto 2,País 2,7967
2022-02-05,Producto 2,País 1,3399
2022-09-11,Producto 3,País 3,1832
2022-09-23,Producto 2,País 2,9277
2022-02-07,Producto 3,País 2,1343
2022-05-11,Producto 2,País 1,4776
2022-01-20,Producto 1,País 1,5905
2022-10-28,Producto 1,País 2,9629
2022-05-24,Producto 3,País 2,8188
2022-12-08,Producto 1,País 2,4599
2022-12-19,Producto 3,País 3,4104
2022-03-05,Producto 2,País 3,1694
2022-03-11,Producto 2,País 2,5829
2022-11-17,Producto 3,País 3,3247
2022-05-07,Producto 3,País 3,7747
2022-05-27,Producto 3,País 3,8279
2022-12-05,Producto 2,País 1,9624
2022-12-21,Producto 3,País 1,1853
2022-01-25,Producto 3,País 3,5543
2022-03-21,Producto 1,País 2,3775
2022-03-03,Producto 1,País 3,9265
2022-03-07,Producto 3,País 3,3342
2022-10-04,Producto 3,País 3,3567
2022-05-01,Producto 1,País 1,3895
2022-06-17,Producto 1,País 1,1398
2022-08-22,Producto 2,País 3,6926
2022-06-22,Producto 3,País 1,5153
2022-08-23,Producto 1,País 1,5757
2022-07-21,Producto 3,País 3,6249
2022-08-26,Producto 3,País 2,3140
2022-03-25,Producto 1,País 2,6441
2022-09-25,Producto 2,País 1,1737
2022-03-22,Producto 1,País 1,6746
2022-04-14,Producto 2,País 2,645
2022-09-22,Producto 3,País 1,5636
2022-11-26,Producto 2,País 2,153
2022-05-14,Producto 2,País 1,6325
2022-09-26,Producto 1,País 3,3762
2022-09-03,Producto 2,País 3,1644
2022-01-12,Producto 2,País 2,152
2022-12-18,Producto 3,País 1,1212
2022-05-21,Producto 3,País 2,6706
2022-08-24,Producto 1,País 2,1451
2022-01-25,Producto 3,País 3,8548
2022-01-27,Producto 3,País 2,3513
2022-12-11,Producto 1,País 3,3851
2022-05-26,Producto 2,País 1,8593
2022-05-03,Producto 1,País 1,4772
2022-05-07,Producto 3,País 3,8601
2022-10-06,Producto 2,País 1,1366
2022-05-05,Producto 1,País 3,2424
